file	percent	reads	taxon_id	taxon_name
gridion364_default.kaiju.classification	0.007934	277	2009331	Bacillus sp. MD-5
gridion364_default.kaiju.classification	0.007705	269	227942	Lactobacillus gastricus
gridion364_default.kaiju.classification	0.007705	269	1778678	Paenibacillus psychroresistens
gridion364_default.kaiju.classification	0.007561	264	67825	Citrobacter rodentium
gridion364_default.kaiju.classification	0.007533	263	1844999	Listeria sp. PSOL-1
gridion364_default.kaiju.classification	0.007361	257	1076	Rhodopseudomonas palustris
gridion364_default.kaiju.classification	0.006931	242	1127744	Bacillus sp. JS
gridion364_default.kaiju.classification	0.006759	236	35787	Lactobacillus pontis
gridion364_default.kaiju.classification	0.006731	235	1664069	Bacillus glycinifermentans
gridion364_default.kaiju.classification	0.006387	223	1580	Lactobacillus brevis
gridion364_default.kaiju.classification	0.005814	203	1071078	Bacillus sp. NSP9.1
gridion364_default.kaiju.classification	0.005471	191	1290	Staphylococcus hominis
gridion364_default.kaiju.classification	0.005442	190	550	Enterobacter cloacae
gridion364_default.kaiju.classification	0.005327	186	56	Sorangium cellulosum
gridion364_default.kaiju.classification	0.005299	185	28035	Staphylococcus lugdunensis
gridion364_default.kaiju.classification	0.005241	183	1625	Lactobacillus sanfranciscensis
gridion364_default.kaiju.classification	0.005098	178	33970	Melissococcus plutonius
gridion364_default.kaiju.classification	0.004926	172	104623	Serratia sp. ATCC 39006
gridion364_default.kaiju.classification	0.004898	171	104955	Lactobacillus frumenti
gridion364_default.kaiju.classification	0.004869	170	1622	Lactobacillus murinus
gridion364_default.kaiju.classification	0.004726	165	1914861	Enterobacter sp. SA187
gridion364_default.kaiju.classification	0.004697	164	316	Pseudomonas stutzeri
gridion364_default.kaiju.classification	0.004697	164	2716812	Candidatus Frankia datiscae
gridion364_default.kaiju.classification	0.004669	163	45972	Staphylococcus pasteuri
gridion364_default.kaiju.classification	0.004554	159	61647	Pluralibacter gergoviae
gridion364_default.kaiju.classification	0.004382	153	1584	Lactobacillus delbrueckii
gridion364_default.kaiju.classification	0.004354	152	632	Yersinia pestis
gridion364_default.kaiju.classification	0.004296	150	303	Pseudomonas putida
gridion364_default.kaiju.classification	0.004296	150	693444	Enterobacteriaceae bacterium strain FGI 57
gridion364_default.kaiju.classification	0.004210	147	1633	Lactobacillus vaginalis
gridion364_default.kaiju.classification	0.004153	145	563	Shimwellia blattae
gridion364_default.kaiju.classification	0.004153	145	119858	Bacillus sonorensis
gridion364_default.kaiju.classification	0.003953	138	1408	Bacillus pumilus
gridion364_default.kaiju.classification	0.003867	135	158877	Yokenella regensburgei
gridion364_default.kaiju.classification	0.003838	134	1597	Lactobacillus paracasei
gridion364_default.kaiju.classification	0.003781	132	2479367	Buttiauxella sp. 3AFRM03
gridion364_default.kaiju.classification	0.003723	130	33945	Enterococcus avium
gridion364_default.kaiju.classification	0.003666	128	29379	Staphylococcus auricularis
gridion364_default.kaiju.classification	0.003666	128	29388	Staphylococcus capitis
gridion364_default.kaiju.classification	0.003666	128	53346	Enterococcus mundtii
gridion364_default.kaiju.classification	0.003609	126	571	Klebsiella oxytoca
gridion364_default.kaiju.classification	0.003609	126	61648	Kluyvera intermedia
gridion364_default.kaiju.classification	0.003580	125	1600	Lactobacillus acetotolerans
gridion364_default.kaiju.classification	0.003523	123	53408	Pseudomonas citronellolis
gridion364_default.kaiju.classification	0.003523	123	375175	Lactobacillus backii
gridion364_default.kaiju.classification	0.003523	123	1334193	[Enterobacter] lignolyticus
gridion364_default.kaiju.classification	0.003494	122	548	Klebsiella aerogenes
gridion364_default.kaiju.classification	0.003466	121	1719	Corynebacterium pseudotuberculosis
gridion364_default.kaiju.classification	0.003466	121	61646	Lelliottia amnigena
gridion364_default.kaiju.classification	0.003380	118	67827	Citrobacter werkmanii
gridion364_default.kaiju.classification	0.003380	118	2579935	Izhakiella sp. KSNA2
gridion364_default.kaiju.classification	0.003351	117	1610	Lactobacillus coryniformis
gridion364_default.kaiju.classification	0.003294	115	1404	Bacillus megaterium
gridion364_default.kaiju.classification	0.003208	112	1648923	Bacillus paralicheniformis
gridion364_default.kaiju.classification	0.003179	111	1402861	Bacillus filamentosus
gridion364_default.kaiju.classification	0.003151	110	294	Pseudomonas fluorescens
gridion364_default.kaiju.classification	0.003151	110	1282	Staphylococcus epidermidis
gridion364_default.kaiju.classification	0.003122	109	758	Rodentibacter pneumotropicus
gridion364_default.kaiju.classification	0.003065	107	29380	Staphylococcus caprae
gridion364_default.kaiju.classification	0.003065	107	2587848	Bacillus sp. THAF10
gridion364_default.kaiju.classification	0.003036	106	615	Serratia marcescens
gridion364_default.kaiju.classification	0.003036	106	61015	Staphylococcus succinus
gridion364_default.kaiju.classification	0.003036	106	417368	Enterococcus thailandicus
gridion364_default.kaiju.classification	0.002979	104	189381	Bacillus marisflavi
gridion364_default.kaiju.classification	0.002921	102	1286	Staphylococcus simulans
gridion364_default.kaiju.classification	0.002921	102	2700081	Virgibacillus sp. MSP4-1
gridion364_default.kaiju.classification	0.002893	101	1354	Enterococcus hirae
gridion364_default.kaiju.classification	0.002893	101	44008	Enterococcus cecorum
gridion364_default.kaiju.classification	0.002864	100	9	Buchnera aphidicola
gridion364_default.kaiju.classification	0.002864	100	35703	Citrobacter amalonaticus
gridion364_default.kaiju.classification	0.002864	100	83655	Leclercia adecarboxylata
gridion364_default.kaiju.classification	0.002836	99	1254	Pediococcus acidilactici
gridion364_default.kaiju.classification	0.002836	99	1296540	Lactobacillus nenjiangensis
gridion364_default.kaiju.classification	0.002807	98	53345	Enterococcus durans
gridion364_default.kaiju.classification	0.002807	98	1639133	Citrobacter portucalensis
gridion364_default.kaiju.classification	0.002778	97	1193095	Lactobacillus hokkaidonensis
gridion364_default.kaiju.classification	0.002750	96	1255	Pediococcus pentosaceus
gridion364_default.kaiju.classification	0.002750	96	2596890	Planctomycetes bacterium SRT547
gridion364_default.kaiju.classification	0.002721	95	1398	Bacillus coagulans
gridion364_default.kaiju.classification	0.002692	94	244366	Klebsiella variicola
gridion364_default.kaiju.classification	0.002664	93	174633	Candidatus Kuenenia stuttgartiensis
gridion364_default.kaiju.classification	0.002635	92	160453	Enterococcus gilvus
gridion364_default.kaiju.classification	0.002635	92	2663121	Rhodococcus sp. WAY2
gridion364_default.kaiju.classification	0.002606	91	29384	Staphylococcus kloosii
gridion364_default.kaiju.classification	0.002606	91	170573	Staphylococcus pettenkoferi
gridion364_default.kaiju.classification	0.002578	90	2596949	Enterobacter sp. E76
gridion364_default.kaiju.classification	0.002549	89	29378	Staphylococcus arlettae
gridion364_default.kaiju.classification	0.002520	88	1397	Bacillus circulans
gridion364_default.kaiju.classification	0.002520	88	633807	Vagococcus penaei
gridion364_default.kaiju.classification	0.002520	88	2100422	Idiomarina sp. OT37-5b
gridion364_default.kaiju.classification	0.002492	87	545	Citrobacter koseri
gridion364_default.kaiju.classification	0.002463	86	1288	Staphylococcus xylosus
gridion364_default.kaiju.classification	0.002463	86	2756	Brochothrix thermosphacta
gridion364_default.kaiju.classification	0.002435	85	138074	Serratia symbiotica
gridion364_default.kaiju.classification	0.002435	85	1663591	Magnetospirillum sp. XM-1
gridion364_default.kaiju.classification	0.002435	85	2567941	Bacillus sp. DSL-17
gridion364_default.kaiju.classification	0.002435	85	2594003	Ferrovibrio terrae
gridion364_default.kaiju.classification	0.002406	84	1707785	Massilia sp. WG5
gridion364_default.kaiju.classification	0.002349	82	28068	Rubrivivax gelatinosus
gridion364_default.kaiju.classification	0.002349	82	54571	Streptomyces venezuelae
gridion364_default.kaiju.classification	0.002349	82	2562449	Citrobacter sp. SNU WT2
gridion364_default.kaiju.classification	0.002320	81	29385	Staphylococcus saprophyticus
gridion364_default.kaiju.classification	0.002320	81	65741	Pseudomonas knackmussii
gridion364_default.kaiju.classification	0.002320	81	67824	Citrobacter farmeri
gridion364_default.kaiju.classification	0.002320	81	587753	Pseudomonas chlororaphis
gridion364_default.kaiju.classification	0.002291	80	33994	Neorickettsia helminthoeca
gridion364_default.kaiju.classification	0.002291	80	1509244	Candidatus Nucleicultrix amoebiphila
gridion364_default.kaiju.classification	0.002263	79	46127	Staphylococcus felis
gridion364_default.kaiju.classification	0.002263	79	133453	Caldilinea aerophila
gridion364_default.kaiju.classification	0.002234	78	2748	Carnobacterium divergens
gridion364_default.kaiju.classification	0.002234	78	2751	Carnobacterium maltaromaticum
gridion364_default.kaiju.classification	0.002234	78	158822	Cedecea neteri
gridion364_default.kaiju.classification	0.002234	78	1763883	Vibrio cidicii
gridion364_default.kaiju.classification	0.002205	77	1314	Streptococcus pyogenes
gridion364_default.kaiju.classification	0.002205	77	1428	Bacillus thuringiensis
gridion364_default.kaiju.classification	0.002205	77	293387	Bacillus altitudinis
gridion364_default.kaiju.classification	0.002205	77	1463165	Klebsiella quasipneumoniae
gridion364_default.kaiju.classification	0.002177	76	1296	Staphylococcus sciuri
gridion364_default.kaiju.classification	0.002177	76	888845	Minicystis rosea
gridion364_default.kaiju.classification	0.002148	75	33936	Aeribacillus pallidus
gridion364_default.kaiju.classification	0.002119	74	582	Morganella morganii
gridion364_default.kaiju.classification	0.002119	74	1712261	Pyruvatibacter mobilis
gridion364_default.kaiju.classification	0.002091	73	1292	Staphylococcus warneri
gridion364_default.kaiju.classification	0.002062	72	1922217	Candidatus Erwinia haradaeae
gridion364_default.kaiju.classification	0.002005	70	1464	Paenibacillus larvae
gridion364_default.kaiju.classification	0.002005	70	519472	Vagococcus teuberi
gridion364_default.kaiju.classification	0.001976	69	1467	Bacillus lentus
gridion364_default.kaiju.classification	0.001976	69	78587	Asticcacaulis excentricus
gridion364_default.kaiju.classification	0.001976	69	1134687	Klebsiella michiganensis
gridion364_default.kaiju.classification	0.001976	69	1736675	Devosia sp. A16
gridion364_default.kaiju.classification	0.001976	69	2651284	Pradoshia sp. D12
gridion364_default.kaiju.classification	0.001948	68	1405	Bacillus mycoides
gridion364_default.kaiju.classification	0.001948	68	1479	Bacillus smithii
gridion364_default.kaiju.classification	0.001948	68	173366	Methylocystis rosea
gridion364_default.kaiju.classification	0.001948	68	2714946	Vagococcus sp. HDW17A
gridion364_default.kaiju.classification	0.001919	67	565	Atlantibacter hermannii
gridion364_default.kaiju.classification	0.001919	67	1587	Lactobacillus helveticus
gridion364_default.kaiju.classification	0.001919	67	152268	Bacillus litoralis
gridion364_default.kaiju.classification	0.001890	66	29382	Staphylococcus cohnii
gridion364_default.kaiju.classification	0.001890	66	35841	Bacillus thermoamylovorans
gridion364_default.kaiju.classification	0.001890	66	82688	Lactobacillus nagelii
gridion364_default.kaiju.classification	0.001890	66	240427	Lactobacillus paracollinoides
gridion364_default.kaiju.classification	0.001890	66	2320867	Pseudomonas sp. K2W31S-8
gridion364_default.kaiju.classification	0.001833	64	551989	Kosakonia arachidis
gridion364_default.kaiju.classification	0.001833	64	1612173	Niveispirillum cyanobacteriorum
gridion364_default.kaiju.classification	0.001833	64	1783501	Bacillus freudenreichii
gridion364_default.kaiju.classification	0.001804	63	384	Rhizobium leguminosarum
gridion364_default.kaiju.classification	0.001804	63	1402	Bacillus licheniformis
gridion364_default.kaiju.classification	0.001804	63	79880	Bacillus clausii
gridion364_default.kaiju.classification	0.001804	63	228899	Bacillus asahii
gridion364_default.kaiju.classification	0.001776	62	1623	Lactobacillus ruminis
gridion364_default.kaiju.classification	0.001776	62	290335	Tetragenococcus koreensis
gridion364_default.kaiju.classification	0.001776	62	666686	Bacillus sp. 1NLA3E
gridion364_default.kaiju.classification	0.001776	62	859143	Bacillus kochii
gridion364_default.kaiju.classification	0.001776	62	1508404	Jeotgalibacillus malaysiensis
gridion364_default.kaiju.classification	0.001776	62	2153354	Klebsiella huaxiensis
gridion364_default.kaiju.classification	0.001776	62	2594042	Candidatus Prometheoarchaeum syntrophicum
gridion364_default.kaiju.classification	0.001747	61	1294	Staphylococcus muscae
gridion364_default.kaiju.classification	0.001747	61	182710	Oceanobacillus iheyensis
gridion364_default.kaiju.classification	0.001747	61	2728853	Bacillus sp. L13 (2020)
gridion364_default.kaiju.classification	0.001719	60	1624	Lactobacillus salivarius
gridion364_default.kaiju.classification	0.001719	60	1391654	Labilithrix luteola
gridion364_default.kaiju.classification	0.001719	60	1969806	Acidibrevibacterium fodinaquatile
gridion364_default.kaiju.classification	0.001719	60	2653932	Citrobacter sp. NMI7904_11
gridion364_default.kaiju.classification	0.001690	59	40324	Stenotrophomonas maltophilia
gridion364_default.kaiju.classification	0.001690	59	561879	Bacillus safensis
gridion364_default.kaiju.classification	0.001690	59	1812935	Enterobacter roggenkampii
gridion364_default.kaiju.classification	0.001690	59	2714947	Vagococcus sp. HDW17B
gridion364_default.kaiju.classification	0.001661	58	1358	Lactococcus lactis
gridion364_default.kaiju.classification	0.001661	58	1396	Bacillus cereus
gridion364_default.kaiju.classification	0.001633	57	300	Pseudomonas mendocina
gridion364_default.kaiju.classification	0.001633	57	86665	Bacillus halodurans
gridion364_default.kaiju.classification	0.001633	57	1193713	Bacillus mesonae
gridion364_default.kaiju.classification	0.001633	57	1288970	Magnetospira sp. QH-2
gridion364_default.kaiju.classification	0.001604	56	7	Azorhizobium caulinodans
gridion364_default.kaiju.classification	0.001604	56	1294143	Pseudomonas sp. ATCC 13867
gridion364_default.kaiju.classification	0.001604	56	1868589	Phreatobacter cathodiphilus
gridion364_default.kaiju.classification	0.001575	55	959	Bdellovibrio bacteriovorus
gridion364_default.kaiju.classification	0.001575	55	33932	Bacillus cohnii
gridion364_default.kaiju.classification	0.001575	55	47763	Streptomyces lydicus
gridion364_default.kaiju.classification	0.001575	55	176292	Lactobacillus malefermentans
gridion364_default.kaiju.classification	0.001575	55	269673	Sporolactobacillus terrae
gridion364_default.kaiju.classification	0.001575	55	2083786	Devosia sp. I507
gridion364_default.kaiju.classification	0.001575	55	2169400	Gemmobacter sp. HYN0069
gridion364_default.kaiju.classification	0.001547	54	317	Pseudomonas syringae
gridion364_default.kaiju.classification	0.001547	54	784	Orientia tsutsugamushi
gridion364_default.kaiju.classification	0.001547	54	1571	Sporosarcina ureae
gridion364_default.kaiju.classification	0.001547	54	89059	Lactobacillus acidipiscis
gridion364_default.kaiju.classification	0.001547	54	2509675	Ktedonosporobacter rubrisoli
gridion364_default.kaiju.classification	0.001518	53	894	Desulfobulbus propionicus
gridion364_default.kaiju.classification	0.001518	53	1471	Bacillus methanolicus
gridion364_default.kaiju.classification	0.001518	53	28038	Lactobacillus curvatus
gridion364_default.kaiju.classification	0.001518	53	155085	Staphylococcus lutrae
gridion364_default.kaiju.classification	0.001518	53	279826	Bacillus foraminis
gridion364_default.kaiju.classification	0.001518	53	1149133	Pseudomonas furukawaii
gridion364_default.kaiju.classification	0.001489	52	43	Cystobacter fuscus
gridion364_default.kaiju.classification	0.001489	52	1601	Lactobacillus agilis
gridion364_default.kaiju.classification	0.001489	52	28450	Burkholderia pseudomallei
gridion364_default.kaiju.classification	0.001489	52	57706	Citrobacter braakii
gridion364_default.kaiju.classification	0.001489	52	109790	Lactobacillus jensenii
gridion364_default.kaiju.classification	0.001489	52	2220096	Indioceanicola profundi
gridion364_default.kaiju.classification	0.001489	52	2605945	Chromobacterium sp. 257-1
gridion364_default.kaiju.classification	0.001461	51	61645	Enterobacter asburiae
gridion364_default.kaiju.classification	0.001461	51	80816	Haliangium ochraceum
gridion364_default.kaiju.classification	0.001432	50	1588	Lactobacillus hilgardii
gridion364_default.kaiju.classification	0.001432	50	69218	Enterobacter cancerogenus
gridion364_default.kaiju.classification	0.001432	50	214473	Staphylococcus nepalensis
gridion364_default.kaiju.classification	0.001403	49	1413	Bacillus cellulosilyticus
gridion364_default.kaiju.classification	0.001403	49	304207	Lactobacillus harbinensis
gridion364_default.kaiju.classification	0.001403	49	643214	Staphylococcus stepanovicii
gridion364_default.kaiju.classification	0.001403	49	2487929	Coxiella endosymbiont of Amblyomma sculptum
gridion364_default.kaiju.classification	0.001403	49	2546350	Citrobacter sp. LY-1
gridion364_default.kaiju.classification	0.001375	48	53336	Tatumella citrea
gridion364_default.kaiju.classification	0.001375	48	184914	Corallococcus coralloides
gridion364_default.kaiju.classification	0.001375	48	1930532	Pseudomonas sp. CC6-YY-74
gridion364_default.kaiju.classification	0.001375	48	2527968	Planctomycetes bacterium Q31a
gridion364_default.kaiju.classification	0.001346	47	48	Archangium gephyra
gridion364_default.kaiju.classification	0.001346	47	52	Chondromyces crocatus
gridion364_default.kaiju.classification	0.001346	47	553	Pantoea ananatis
gridion364_default.kaiju.classification	0.001346	47	1476	Sporosarcina psychrophila
gridion364_default.kaiju.classification	0.001346	47	28141	Cronobacter sakazakii
gridion364_default.kaiju.classification	0.001346	47	324767	Bacillus infantis
gridion364_default.kaiju.classification	0.001346	47	352858	Bacillus sp. Y1
gridion364_default.kaiju.classification	0.001346	47	1963032	Bacillus intestinalis
gridion364_default.kaiju.classification	0.001346	47	2153385	Lelliottia sp. WB101
gridion364_default.kaiju.classification	0.001346	47	2598579	Limnoglobus roseus
gridion364_default.kaiju.classification	0.001346	47	2711231	Roseimicrobium sp. ORNL1
gridion364_default.kaiju.classification	0.001318	46	305	Ralstonia solanacearum
gridion364_default.kaiju.classification	0.001318	46	703	Plesiomonas shigelloides
gridion364_default.kaiju.classification	0.001318	46	267363	Lactobacillus zymae
gridion364_default.kaiju.classification	0.001318	46	2692425	Pontibacillus sp. HMF3514
gridion364_default.kaiju.classification	0.001289	45	33962	Lactobacillus kefiri
gridion364_default.kaiju.classification	0.001289	45	40576	Xenorhabdus bovienii
gridion364_default.kaiju.classification	0.001289	45	51173	Ureibacillus thermosphaericus
gridion364_default.kaiju.classification	0.001289	45	69223	Dickeya paradisiaca
gridion364_default.kaiju.classification	0.001289	45	86664	Bacillus flexus
gridion364_default.kaiju.classification	0.001289	45	187145	Caldithrix abyssi
gridion364_default.kaiju.classification	0.001289	45	645517	Altererythrobacter namhicola
gridion364_default.kaiju.classification	0.001289	45	1472767	Lentibacillus amyloliquefaciens
gridion364_default.kaiju.classification	0.001289	45	1898474	Macrococcus sp. IME1552
gridion364_default.kaiju.classification	0.001289	45	1909395	Nonomuraea sp. ATCC 55076
gridion364_default.kaiju.classification	0.001289	45	2292766	Bradymonadales bacterium YN101
gridion364_default.kaiju.classification	0.001289	45	2728835	Luteolibacter sp. G-1-1-1
gridion364_default.kaiju.classification	0.001260	44	1582	Lactobacillus casei
gridion364_default.kaiju.classification	0.001260	44	1599	Lactobacillus sakei
gridion364_default.kaiju.classification	0.001260	44	29303	Streptomyces cattleya
gridion364_default.kaiju.classification	0.001260	44	218284	Bacillus vietnamensis
gridion364_default.kaiju.classification	0.001260	44	332163	Candidatus Solibacter usitatus
gridion364_default.kaiju.classification	0.001260	44	404589	Anaeromyxobacter sp. Fw109-5
gridion364_default.kaiju.classification	0.001260	44	1628392	Hahella sp. KA22
gridion364_default.kaiju.classification	0.001260	44	1911586	Marinilactibacillus sp. 15R
gridion364_default.kaiju.classification	0.001232	43	43263	Pseudomonas alcaligenes
gridion364_default.kaiju.classification	0.001232	43	79883	Bacillus horikoshii
gridion364_default.kaiju.classification	0.001232	43	86106	endosymbiont of Acanthamoeba sp. UWC8
gridion364_default.kaiju.classification	0.001232	43	929813	Gibbsiella quercinecans
gridion364_default.kaiju.classification	0.001232	43	1138822	Lactobacillus curieae
gridion364_default.kaiju.classification	0.001232	43	1450761	Aneurinibacillus sp. XH2
gridion364_default.kaiju.classification	0.001232	43	1720083	Lactobacillus jinshani
gridion364_default.kaiju.classification	0.001232	43	2527975	Planctomycetes bacterium Pan216
gridion364_default.kaiju.classification	0.001232	43	2528021	Planctomycetes bacterium ETA_A8
gridion364_default.kaiju.classification	0.001203	42	128	Isosphaera pallida
gridion364_default.kaiju.classification	0.001203	42	171437	Tistrella mobilis
gridion364_default.kaiju.classification	0.001203	42	407035	Salinicoccus halodurans
gridion364_default.kaiju.classification	0.001203	42	417367	Paenisporosarcina antarctica
gridion364_default.kaiju.classification	0.001203	42	580165	Bacillus cytotoxicus
gridion364_default.kaiju.classification	0.001203	42	885040	Enterobacter soli
gridion364_default.kaiju.classification	0.001203	42	1365176	Thermofilum adornatum
gridion364_default.kaiju.classification	0.001203	42	1565991	Bacillus sp. X1(2014)
gridion364_default.kaiju.classification	0.001203	42	2213202	Planococcus sp. Y42
gridion364_default.kaiju.classification	0.001203	42	2528026	Planctomycetes bacterium Mal4
gridion364_default.kaiju.classification	0.001203	42	2571750	Vagococcus sp. MN-17
gridion364_default.kaiju.classification	0.001174	41	1307	Streptococcus suis
gridion364_default.kaiju.classification	0.001174	41	300825	Bacillus lehensis
gridion364_default.kaiju.classification	0.001174	41	526944	Tetragenococcus osmophilus
gridion364_default.kaiju.classification	0.001174	41	569860	Methylovirgula ligni
gridion364_default.kaiju.classification	0.001174	41	1109412	Brenneria goodwinii
gridion364_default.kaiju.classification	0.001174	41	1547283	Bacillus weihaiensis
gridion364_default.kaiju.classification	0.001174	41	2528010	Planctomycetes bacterium Pla85_3_4
gridion364_default.kaiju.classification	0.001174	41	2594883	Bacillaceae bacterium TKL69
gridion364_default.kaiju.classification	0.001146	40	41	Stigmatella aurantiaca
gridion364_default.kaiju.classification	0.001146	40	1596	Lactobacillus gasseri
gridion364_default.kaiju.classification	0.001146	40	47880	Pseudomonas fulva
gridion364_default.kaiju.classification	0.001146	40	216142	Pseudomonas rhizosphaerae
gridion364_default.kaiju.classification	0.001146	40	283686	Kosakonia radicincitans
gridion364_default.kaiju.classification	0.001146	40	386490	Terribacillus goriensis
gridion364_default.kaiju.classification	0.001146	40	1303590	Lactobacillus bombi
gridion364_default.kaiju.classification	0.001146	40	1670641	Bacillus ciccensis
gridion364_default.kaiju.classification	0.001146	40	2604832	Pseudomonas sp. PE08
gridion364_default.kaiju.classification	0.001117	39	353	Azotobacter chroococcum
gridion364_default.kaiju.classification	0.001117	39	1618	Lactobacillus mali
gridion364_default.kaiju.classification	0.001117	39	83656	Streptomyces tsukubensis
gridion364_default.kaiju.classification	0.001117	39	91604	Candidatus Paracaedibacter acanthamoebae
gridion364_default.kaiju.classification	0.001117	39	466153	Singulisphaera acidiphila
gridion364_default.kaiju.classification	0.001117	39	861299	Gemmatirosa kalamazoonesis
gridion364_default.kaiju.classification	0.001117	39	927083	Sandaracinus amylolyticus
gridion364_default.kaiju.classification	0.001117	39	1259973	Raoultella electrica
gridion364_default.kaiju.classification	0.001117	39	1616788	Paenibacillus bovis
gridion364_default.kaiju.classification	0.001117	39	1742359	Bacillus sp. FJAT-25496
gridion364_default.kaiju.classification	0.001117	39	1849491	Auricoccus indicus
gridion364_default.kaiju.classification	0.001117	39	2419842	Virgibacillus sp. Bac332
gridion364_default.kaiju.classification	0.001117	39	2494550	Roseovarius sp. MME-070
gridion364_default.kaiju.classification	0.001117	39	2653853	Pseudomonas sp. SCB32
gridion364_default.kaiju.classification	0.001117	39	2686094	Caulobacteraceae bacterium 0127_4
gridion364_default.kaiju.classification	0.001088	38	53501	Thalassobius gelatinovorus
gridion364_default.kaiju.classification	0.001088	38	98228	Bacillus sp. OxB-1
gridion364_default.kaiju.classification	0.001088	38	111781	Leptolyngbya sp. PCC 7376
gridion364_default.kaiju.classification	0.001088	38	186490	Candidatus Baumannia cicadellinicola
gridion364_default.kaiju.classification	0.001088	38	221822	Phaeobacter inhibens
gridion364_default.kaiju.classification	0.001088	38	755307	Salinigranum rubrum
gridion364_default.kaiju.classification	0.001088	38	1619313	Erwinia gerundensis
gridion364_default.kaiju.classification	0.001088	38	1806508	Candidatus Promineofilum breve
gridion364_default.kaiju.classification	0.001088	38	2066049	Citrobacter freundii complex sp. CFNIH2
gridion364_default.kaiju.classification	0.001088	38	2479547	Pantoea sp. 201603H
gridion364_default.kaiju.classification	0.001088	38	2506420	Weissella sp. 26KH-42
gridion364_default.kaiju.classification	0.001060	37	354	Azotobacter vinelandii
gridion364_default.kaiju.classification	0.001060	37	293371	Lactobacillus oligofermentans
gridion364_default.kaiju.classification	0.001060	37	402384	Halobacillus mangrovi
